"studyid","workflowid","gsm_version","param","index","value"
"AA-AA-000-0000","cou0009","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0009","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0009","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0010","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0010","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0010","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0010","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0010","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0011","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0011","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0011","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0011","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0011","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0012","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0012","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0012","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0012","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0012","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","qtl0004","v1.7.3","vThreshold",1,"0.01"
"AA-AA-000-0000","qtl0004","v1.7.3","strMethod",NA,"qtl"
"AA-AA-000-0000","qtl0006","v1.7.3","vThreshold",1,"0.2"
"AA-AA-000-0000","qtl0006","v1.7.3","strMethod",NA,"qtl"
